,time,base,script1,script_price1,script2,script_price2,script3,script_price3,initial base quantity,final base quantity,profit,arbitrage type
737,2023-12-17 20:09:47.950435,USDT,GMTUSDT,0.25890000,GMTEUR,0.23700000,EURUSDT,1.09280000,200.0,200.012,0.02400000000000091,BUY_SELL_SELL
29,2023-12-17 20:09:47.939782,USDT,ETHUSDT,2211.04000000,XMRETH,0.07582000,XMRUSDT,167.70000000,200.0,200.01,0.01999999999998181,BUY_BUY_SELL
97,2023-12-17 20:09:47.941617,USDT,ETCUSDT,20.06000000,ETCBNB,0.08330000,BNBUSDT,240.90000000,200.0,200.009,0.01799999999997226,BUY_SELL_SELL
256,2023-12-17 20:09:47.944252,USDT,DOGEUSDT,0.09355000,DOGETUSD,0.09376000,TUSDUSDT,0.99810000,200.0,200.008,0.016000000000019554,BUY_SELL_SELL
88,2023-12-17 20:09:47.941491,USDT,BNBUSDT,240.90000000,ADABNB,0.00245000,ADAUSDT,0.59040000,200.0,200.006,0.012000000000000455,BUY_BUY_SELL
0,2023-12-17 20:09:47.936232,USDT,BTCUSDT,41671.94000000,BNBBTC,0.00577900,BNBUSDT,240.90000000,200.0,200.005,0.009999999999990905,BUY_BUY_SELL
805,2023-12-17 20:09:47.951570,USDT,SOLUSDT,72.00000000,SOLFDUSD,72.16000000,FDUSDUSDT,0.99810000,200.0,200.004,0.007999999999981355,BUY_SELL_SELL
23,2023-12-17 20:09:47.939544,USDT,ETHUSDT,2211.04000000,NEOETH,0.00572400,NEOUSDT,12.66000000,200.0,200.003,0.005999999999971806,BUY_BUY_SELL
467,2023-12-17 20:09:47.946885,USDT,DNTUSDT,0.03600000,DNTBUSD,0.03600000,BUSDUSDT,1.00030000,200.0,200.0,0.0,BUY_SELL_SELL
519,2023-12-17 20:09:47.947503,USDT,EPSUSDT,0.16790000,EPSBUSD,0.16790000,BUSDUSDT,1.00030000,200.0,200.0,0.0,BUY_SELL_SELL
